run_accession,study_accession,sample_accession,sample_name,layout,strategy,source_r1,source_r2,source_r1_md5,source_r2_md5,source_r1_bytes,source_r2_bytes
SRR35344560,PRJNA1161405,SAMN43777161,Normal1,PAIRED,RNA-Seq,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR353/060/SRR35344560/SRR35344560_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR353/060/SRR35344560/SRR35344560_2.fastq.gz,05cc7c48d4d6c98436a00adb4806b0bf,3fefcdf09efac2b60ec164f28863d68a,5241585123,5128522251
SRR35344561,PRJNA1161405,SAMN43777160,Normal2,PAIRED,RNA-Seq,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR353/061/SRR35344561/SRR35344561_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR353/061/SRR35344561/SRR35344561_2.fastq.gz,edc2170b71bd253c601f4edd3f3f038e,bffd8e81b741825bf7851e54ee4381e2,5889824017,5734112122
SRR35344562,PRJNA1161405,SAMN43777159,Normal3,PAIRED,RNA-Seq,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR353/062/SRR35344562/SRR35344562_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR353/062/SRR35344562/SRR35344562_2.fastq.gz,1740888258bfda3cd71fb88939198054,5d1301ff8b8a732e76ff647b91f3ad21,5747239901,5167477875
SRR35344563,PRJNA1161405,SAMN43777158,Normal4,PAIRED,RNA-Seq,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR353/063/SRR35344563/SRR35344563_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR353/063/SRR35344563/SRR35344563_2.fastq.gz,ca4865574fd7c88e7b4998a56ce38778,b359d13bdd4813d8dcf2aed84016c102,4867233715,4409473528
SRR35344564,PRJNA1161405,SAMN43777157,Normal5,PAIRED,RNA-Seq,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR353/064/SRR35344564/SRR35344564_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR353/064/SRR35344564/SRR35344564_2.fastq.gz,79ab8cff02d9eb54e945e8b39bffff8c,b5ed5f4a240749a71b07384b31839faf,5475730728,5339075781
SRR35344566,PRJNA1161405,SAMN43777155,HCC1,PAIRED,RNA-Seq,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR353/066/SRR35344566/SRR35344566_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR353/066/SRR35344566/SRR35344566_2.fastq.gz,9b5aad0e3fbe44e27c1b3f34b82c070e,024ca6f5945ae6f60ad99beb43637820,6058877280,5963654351
SRR35344567,PRJNA1161405,SAMN43777154,HCC2,PAIRED,RNA-Seq,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR353/067/SRR35344567/SRR35344567_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR353/067/SRR35344567/SRR35344567_2.fastq.gz,74315024268a8efbbd55770f1c2fc32b,7f310f11b72544374e9685af7021c98d,5847242897,5768105343
SRR35344568,PRJNA1161405,SAMN43777153,HCC3,PAIRED,RNA-Seq,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR353/068/SRR35344568/SRR35344568_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR353/068/SRR35344568/SRR35344568_2.fastq.gz,2580e1b40c4e7b61313b82023228ca28,11a018ed0c7bed8d69fdf55851409c20,4338321549,4185082635
SRR35344569,PRJNA1161405,SAMN43777152,HCC4,PAIRED,RNA-Seq,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR353/069/SRR35344569/SRR35344569_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR353/069/SRR35344569/SRR35344569_2.fastq.gz,d10c10a1f6a6d1e721668860bdad087d,85ffc38994bc14c76fe5fe1ea1edb306,6062076359,6003267098
SRR35344570,PRJNA1161405,SAMN43777151,HCC5,PAIRED,RNA-Seq,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR353/070/SRR35344570/SRR35344570_1.fastq.gz,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR353/070/SRR35344570/SRR35344570_2.fastq.gz,c7fd6818b05106b8b4db6d5293ee58ad,f01f6d73337ce8b34a8006c5805f9b62,6114916601,6143862268
